DevEui,JoinEui,Class,PRR,Total Messages,updf,upinfo,dntxed,joining,joined,dnfail,dnacked,Initial FCntUp,Last FCntUp,Expected Packets,Received Packets
47-7B-41-F2-00-46-00-40,N/A,C,93.80%,998,499,499,0,0,0,0,0,20437,20968,532,499
10-00-00-02-3F-3D-AC-3C,N/A,A,95.62%,2174,1047,1047,42,0,0,0,38,136699,137793,1095,1047
A8-17-58-FF-FE-04-AD-35,N/A,A,100.00%,72,36,36,0,0,0,0,0,86085,86120,36,36
10-00-00-02-3F-3D-AC-41,N/A,A,97.62%,2214,1065,1065,46,0,0,0,38,81752,82842,1091,1065
47-8B-41-F2-00-19-00-31,N/A,C,99.62%,1050,525,525,0,0,0,0,0,63791,64317,527,525
10-00-00-02-3F-3D-AC-7E,N/A,A,97.91%,2066,1033,1033,0,0,0,0,0,78335,79389,1055,1033
10-00-00-02-3F-3D-AC-30,N/A,A,93.05%,2116,1017,1017,43,0,0,0,39,81889,82981,1093,1017
10-00-00-02-3F-3D-AC-91,N/A,A,96.49%,2036,1018,1018,0,0,0,0,0,78331,79385,1055,1018
10-00-00-02-3F-3D-AC-56,N/A,A,81.67%,882,441,441,0,0,0,0,0,911,523,540,441
10-00-00-02-3F-3D-AC-0D,N/A,A,94.29%,1024,512,512,0,0,0,0,0,911,524,543,512
10-00-00-02-3F-3D-AC-85,N/A,A,89.67%,972,486,486,0,0,0,0,0,912,524,542,486
10-00-00-02-3F-3D-AC-A2,N/A,A,98.89%,1072,536,536,0,0,0,0,0,910,523,542,536
10-00-00-02-3F-3D-AC-8A,N/A,A,94.50%,1992,996,996,0,0,0,0,0,78354,79407,1054,996
10-00-00-02-3F-3D-AC-3F,N/A,A,74.89%,1750,829,829,55,0,0,0,37,82549,83655,1107,829
10-00-00-02-3F-3D-AC-B6,N/A,A,95.22%,2150,1037,1037,39,0,0,0,37,136098,137186,1089,1037
10-00-00-02-3F-3D-AC-72,N/A,A,98.86%,2084,1042,1042,0,0,0,0,0,80929,81982,1054,1042
A8-17-58-FF-FE-04-0A-CE,N/A,A,100.00%,72,36,36,0,0,0,0,0,96628,96663,36,36
10-00-00-02-3F-3D-AC-AB,N/A,A,41.99%,1015,464,464,60,0,0,0,27,138949,140053,1105,464
47-1B-41-F2-00-36-00-49,N/A,C,97.58%,1050,525,525,0,0,0,0,0,7635,8172,538,525
A8-17-58-FF-FE-04-03-25,N/A,A,100.00%,72,36,36,0,0,0,0,0,96740,96775,36,36
10-00-00-02-3F-3D-AC-24,N/A,A,96.97%,2046,1023,1023,0,0,0,0,0,78575,79629,1055,1023
92-30-00-01-00-00-02-51,92-30-00-02-00-00-02-51,C,100.00%,124,58,58,0,4,4,0,0,11,9,58,58
A8-17-58-FF-FE-06-2B-EE,N/A,A,100.00%,142,71,71,0,0,0,0,0,89078,89148,71,71
10-00-00-02-3F-3D-AC-28,N/A,A,99.81%,2110,1055,1055,0,0,0,0,0,79042,80098,1057,1055
92-30-00-01-00-00-01-62,92-30-00-02-00-00-01-62,C,100.00%,142,68,68,0,3,3,0,0,13,17,68,68
47-3B-41-F2-00-30-00-22,N/A,C,97.41%,1054,527,527,0,0,0,0,0,70778,71318,541,527
10-00-00-02-3F-3D-AC-92,N/A,A,54.69%,1337,612,612,73,0,0,0,40,83210,84328,1119,612
10-00-00-02-3F-3D-AC-BD,N/A,A,89.55%,2059,985,985,51,0,0,0,38,81952,83051,1100,985
10-00-00-02-3F-3D-AC-5C,N/A,A,99.43%,2096,1048,1048,0,0,0,0,0,78272,79325,1054,1048
10-00-00-02-3F-3D-AC-2A,N/A,A,99.53%,2100,1050,1050,0,0,0,0,0,79054,80108,1055,1050
10-00-00-02-3F-3D-AC-C6,N/A,A,88.73%,1874,937,937,0,0,0,0,0,79189,80244,1056,937
10-00-00-02-3F-3D-AC-03,N/A,A,99.63%,2263,1090,1090,42,0,0,0,41,82000,83093,1094,1090
10-00-00-02-3F-3D-AC-B0,N/A,A,81.77%,1878,897,897,46,0,0,0,38,82235,83331,1097,897
10-00-00-02-3F-3D-AC-1D,N/A,A,84.53%,918,459,459,0,0,0,0,0,910,524,543,459
10-00-00-02-3F-3D-AC-3D,N/A,A,97.63%,2058,1029,1029,0,0,0,0,0,78335,79388,1054,1029
10-00-00-02-3F-3D-AC-C5,N/A,A,98.62%,2226,1075,1075,38,0,0,0,38,82024,83113,1090,1075
A8-17-58-FF-FE-04-08-FD,N/A,A,100.00%,72,36,36,0,0,0,0,0,96532,96567,36,36
10-00-00-02-3F-3D-AC-64,N/A,A,92.97%,1958,979,979,0,0,0,0,0,78502,79554,1053,979
10-00-00-02-3F-3D-AC-10,N/A,A,95.27%,2012,1006,1006,0,0,0,0,0,78342,79397,1056,1006
10-00-00-02-3F-3D-AC-26,N/A,A,92.05%,996,498,498,0,0,0,0,0,913,523,541,498
10-00-00-02-3F-3D-AC-B3,N/A,A,98.54%,2238,1078,1078,42,0,0,0,40,136426,137519,1094,1078
10-00-00-02-3F-3D-AC-42,N/A,A,98.35%,2228,1074,1074,41,0,0,0,39,81933,83024,1092,1074
